[2025-04-13 00:12:15,541]-[main] INFO  Exposed - Preparing alter table statements took 215ms
[2025-04-13 00:12:15,583]-[main] INFO  Exposed - Executing alter table statements took 42ms
[2025-04-13 00:12:15,713]-[main] INFO  Exposed - Checking mapping consistence took 130ms
[2025-04-13 00:12:15,758]-[main] INFO  Exposed - Preparing create tables statements took 43ms
[2025-04-13 00:12:15,800]-[main] INFO  Exposed - Executing create tables statements took 41ms
[2025-04-13 00:12:15,846]-[main] INFO  Exposed - Extracting table columns took 45ms
[2025-04-13 00:12:15,889]-[main] INFO  Exposed - Extracting primary keys took 43ms
[2025-04-13 00:12:16,797]-[main] INFO  Exposed - Extracting column constraints took 907ms
[2025-04-13 00:12:16,798]-[main] INFO  Exposed - Preparing alter table statements took 997ms
[2025-04-13 00:12:16,840]-[main] INFO  Exposed - Executing alter table statements took 42ms
[2025-04-13 00:12:16,976]-[main] INFO  Exposed - Checking mapping consistence took 135ms
[2025-04-13 00:12:17,021]-[main] INFO  Exposed - Preparing create tables statements took 44ms
[2025-04-13 00:12:17,064]-[main] INFO  Exposed - Executing create tables statements took 43ms
[2025-04-13 00:12:17,109]-[main] INFO  Exposed - Extracting table columns took 45ms
[2025-04-13 00:12:17,153]-[main] INFO  Exposed - Extracting primary keys took 44ms
[2025-04-13 00:12:18,058]-[main] INFO  Exposed - Extracting column constraints took 887ms
[2025-04-13 00:12:18,058]-[main] INFO  Exposed - Preparing alter table statements took 994ms
[2025-04-13 00:12:18,105]-[main] INFO  Exposed - Executing alter table statements took 46ms
[2025-04-13 00:12:18,240]-[main] INFO  Exposed - Checking mapping consistence took 134ms
[2025-04-13 00:12:18,286]-[main] INFO  Exposed - Preparing create tables statements took 45ms
[2025-04-13 00:12:18,329]-[main] INFO  Exposed - Executing create tables statements took 43ms
[2025-04-13 00:12:18,374]-[main] INFO  Exposed - Extracting table columns took 45ms
[2025-04-13 00:12:18,418]-[main] INFO  Exposed - Extracting primary keys took 44ms
[2025-04-13 00:12:18,534]-[main] INFO  Exposed - Extracting column constraints took 116ms
[2025-04-13 00:12:18,534]-[main] INFO  Exposed - Preparing alter table statements took 205ms
[2025-04-13 00:12:18,577]-[main] INFO  Exposed - Executing alter table statements took 43ms
[2025-04-13 00:12:18,708]-[main] INFO  Exposed - Checking mapping consistence took 131ms
[2025-04-13 00:12:18,754]-[main] INFO  Exposed - Preparing create tables statements took 43ms
[2025-04-13 00:12:18,796]-[main] INFO  Exposed - Executing create tables statements took 42ms
[2025-04-13 00:12:18,841]-[main] INFO  Exposed - Extracting table columns took 45ms
[2025-04-13 00:12:18,885]-[main] INFO  Exposed - Extracting primary keys took 43ms
[2025-04-13 00:12:19,988]-[main] INFO  Exposed - Extracting column constraints took 1103ms
[2025-04-13 00:12:19,988]-[main] INFO  Exposed - Preparing alter table statements took 1192ms
[2025-04-13 00:12:20,030]-[main] INFO  Exposed - Executing alter table statements took 42ms
[2025-04-13 00:12:20,161]-[main] INFO  Exposed - Checking mapping consistence took 131ms
[2025-04-13 00:12:20,207]-[main] INFO  Exposed - Preparing create tables statements took 46ms
[2025-04-13 00:12:20,276]-[main] INFO  Exposed - Executing create tables statements took 44ms
[2025-04-13 00:12:20,322]-[main] INFO  Exposed - Extracting table columns took 44ms
[2025-04-13 00:12:20,368]-[main] INFO  Exposed - Extracting primary keys took 45ms
[2025-04-13 00:12:20,479]-[main] INFO  Exposed - Extracting column constraints took 111ms
[2025-04-13 00:12:20,480]-[main] INFO  Exposed - Preparing alter table statements took 202ms
[2025-04-13 00:12:20,523]-[main] INFO  Exposed - Executing alter table statements took 43ms
[2025-04-13 00:12:20,653]-[main] INFO  Exposed - Checking mapping consistence took 130ms
[2025-04-13 00:12:20,702]-[main] INFO  Exposed - Preparing create tables statements took 44ms
[2025-04-13 00:12:20,745]-[main] INFO  Exposed - Executing create tables statements took 43ms
[2025-04-13 00:12:20,791]-[main] INFO  Exposed - Extracting table columns took 46ms
[2025-04-13 00:12:20,835]-[main] INFO  Exposed - Extracting primary keys took 44ms
[2025-04-13 00:12:21,054]-[main] INFO  Exposed - Extracting column constraints took 219ms
[2025-04-13 00:12:21,054]-[main] INFO  Exposed - Preparing alter table statements took 309ms
[2025-04-13 00:12:21,097]-[main] INFO  Exposed - Executing alter table statements took 43ms
[2025-04-13 00:12:21,227]-[main] INFO  Exposed - Checking mapping consistence took 130ms
[2025-04-13 00:12:21,272]-[main] INFO  Exposed - Preparing create tables statements took 44ms
[2025-04-13 00:12:21,314]-[main] INFO  Exposed - Executing create tables statements took 42ms
[2025-04-13 00:12:21,359]-[main] INFO  Exposed - Extracting table columns took 45ms
[2025-04-13 00:12:21,403]-[main] INFO  Exposed - Extracting primary keys took 44ms
[2025-04-13 00:12:22,174]-[main] INFO  Exposed - Extracting column constraints took 771ms
[2025-04-13 00:12:22,174]-[main] INFO  Exposed - Preparing alter table statements took 860ms
[2025-04-13 00:12:22,217]-[main] INFO  Exposed - Executing alter table statements took 43ms
[2025-04-13 00:12:22,347]-[main] INFO  Exposed - Checking mapping consistence took 130ms
[2025-04-13 00:12:23,432]-[main] INFO  Exposed - Preparing create tables statements took 202ms
[2025-04-13 00:12:23,471]-[main] INFO  Exposed - Executing create tables statements took 39ms
